video_name,begin_time,ending_time,begin_frame,ending_frame,duration
movie2-Scene-005.mp4,23.566666666666663,30.4,1414,1824,6.833333333333332
movie2-Scene-006.mp4,30.4,45.68333333333333,1824,2741,15.283333333333331
movie2-Scene-007.mp4,45.68333333333333,48.68333333333333,2741,2921,3.0
movie2-Scene-008.mp4,48.68333333333333,51.8,2921,3108,3.116666666666667
movie2-Scene-009.mp4,51.8,56.56666666666667,3108,3394,4.766666666666673
movie2-Scene-010.mp4,56.56666666666667,59.56666666666667,3394,3574,3.0
movie2-Scene-011.mp4,59.56666666666667,65.48333333333333,3574,3929,5.916666666666664
movie2-Scene-012.mp4,65.48333333333333,75.36666666666666,3929,4522,9.883333333333326
movie2-Scene-013.mp4,75.36666666666666,84.48333333333333,4522,5069,9.116666666666674
movie2-Scene-014.mp4,84.48333333333333,92.8,5069,5568,8.316666666666663
movie2-Scene-015.mp4,92.8,97.4,5568,5844,4.6000000000000085
movie2-Scene-016.mp4,97.4,104.68333333333334,5844,6281,7.283333333333331
movie2-Scene-017.mp4,104.68333333333334,109.36666666666666,6281,6562,4.683333333333323
movie2-Scene-018.mp4,109.36666666666666,115.48333333333332,6562,6929,6.116666666666674
movie2-Scene-019.mp4,115.48333333333332,119.48333333333332,6929,7169,4.0
movie2-Scene-020.mp4,119.48333333333332,124.53333333333332,7169,7472,5.049999999999997
movie2-Scene-021.mp4,124.53333333333332,131.13333333333333,7472,7868,6.599999999999994
movie2-Scene-022.mp4,131.13333333333333,134.13333333333333,7868,8048,3.0
movie2-Scene-023.mp4,134.13333333333333,137.6,8048,8256,3.466666666666669
movie2-Scene-024.mp4,137.6,140.6,8256,8436,3.0
movie2-Scene-025.mp4,140.6,143.6,8436,8616,3.0
movie2-Scene-026.mp4,143.6,146.6,8616,8796,3.0
movie2-Scene-027.mp4,146.6,149.65,8796,8979,3.050000000000012
movie2-Scene-028.mp4,149.65,152.65,8979,9159,3.0
movie2-Scene-029.mp4,152.65,155.65,9159,9339,3.0
movie2-Scene-030.mp4,155.65,158.65,9339,9519,3.0
movie2-Scene-031.mp4,158.65,161.65,9519,9699,3.0
movie2-Scene-032.mp4,161.65,164.65,9699,9879,3.0
movie2-Scene-033.mp4,164.65,167.65,9879,10059,3.0
movie2-Scene-034.mp4,167.65,170.65,10059,10239,3.0
movie2-Scene-035.mp4,170.65,173.65,10239,10419,3.0
movie2-Scene-036.mp4,173.65,176.93333333333334,10419,10616,3.2833333333333314
movie2-Scene-037.mp4,176.93333333333334,179.93333333333334,10616,10796,3.0
movie2-Scene-038.mp4,179.93333333333334,182.9333333333333,10796,10976,3.0
movie2-Scene-039.mp4,182.9333333333333,185.9333333333333,10976,11156,3.0
movie2-Scene-040.mp4,185.9333333333333,188.9333333333333,11156,11336,3.0
movie2-Scene-041.mp4,188.9333333333333,191.9333333333333,11336,11516,3.0
